Time,Euler0,Euler1,Euler2,ShakeLevel
3.727177,-14.00, -13.00, 97.00,0
3.817045,-20.00, -28.00, 78.00,0
3.937862,-13.00, -46.00, 64.00,0
4.065667,11.00, -68.00, 44.00,0
4.177927,-174.00, -83.00, -119.00,0
4.28442,-133.00, -45.00, -140.00,0
4.392286,-97.00, -16.00, -148.00,0
4.493135,-59.00, -1.00, -156.00,0
4.624028,-27.00, 6.00, -167.00,0
4.714619,-15.00, 12.00, -179.00,0
4.836287,-10.00, 15.00, 173.00,0
4.943834,-8.00, 15.00, 170.00,0
5.067191,-7.00, 15.00, 170.00,0
5.18862,-8.00, 15.00, 171.00,0
5.287323,-9.00, 16.00, 172.00,0
5.389084,-10.00, 17.00, 172.00,0
5.532244,-10.00, 17.00, 174.00,0
5.619657,-10.00, 16.00, 175.00,0
5.740466,-10.00, 16.00, 176.00,0
5.844926,-11.00, 17.00, 178.00,0
5.961309,-11.00, 17.00, 180.00,0
6.068914,-12.00, 16.00, -178.00,0
6.186121,-13.00, 15.00, -177.00,0
6.300684,-13.00, 14.00, -176.00,0
