Time,Euler0,Euler1,Euler2,ShakeLevel
3.663993,-12.00, -6.00, 155.00,0
3.702631,-9.00, -4.00, 151.00,0
3.802267,-5.00, -5.00, 150.00,0
3.945995,-5.00, -3.00, 145.00,0
4.036251,-2.00, 5.00, 138.00,0
4.156084,0.00, 14.00, 129.00,0
4.264627,3.00, 17.00, 121.00,0
4.379539,5.00, 17.00, 114.00,0
4.482399,2.00, 15.00, 107.00,0
4.606778,-2.00, 12.00, 99.00,0
4.70889,-6.00, 8.00, 90.00,0
4.838716,-8.00, 1.00, 82.00,0
4.96216,-11.00, -6.00, 72.00,0
5.053079,-14.00, -15.00, 64.00,0
5.157163,-15.00, -26.00, 56.00,0
5.296875,-12.00, -42.00, 45.00,0
5.400863,4.00, -64.00, 26.00,0
5.500901,93.00, -80.00, -63.00,0
5.611776,165.00, -59.00, -129.00,0
5.724961,-170.00, -22.00, -141.00,0
5.83093,-139.00, 4.00, -149.00,0
5.956515,-85.00, 10.00, -158.00,0
6.057931,-31.00, 7.00, -174.00,0
6.181755,-9.00, 16.00, 162.00,0
6.300582,-3.00, 23.00, 145.00,0
6.408745,2.00, 16.00, 139.00,0
6.512713,1.00, 10.00, 140.00,0
6.625379,-6.00, 4.00, 143.00,0
6.746356,-9.00, 1.00, 146.00,0
6.856534,-10.00, 1.00, 147.00,0
6.967976,-9.00, -2.00, 148.00,0
7.077034,-9.00, -13.00, 149.00,0
7.185278,-10.00, -19.00, 149.00,0
7.306552,-9.00, -23.00, 148.00,0
7.41335,-8.00, -27.00, 147.00,0
7.522537,-4.00, -29.00, 143.00,0
7.630589,-5.00, -28.00, 142.00,0
7.750274,-5.00, -27.00, 141.00,0
7.857702,-3.00, -26.00, 140.00,0
7.978595,-3.00, -25.00, 140.00,0
8.082907,-2.00, -24.00, 140.00,0
8.201838,-3.00, -25.00, 140.00,0
