Time,Euler0,Euler1,Euler2,ShakeLevel
3.462921,147.00, 61.00, 30.00,0
3.550198,151.00, 24.00, 44.00,0
3.678127,111.00, -3.00, 50.00,0
3.782047,68.00, -11.00, 48.00,0
3.894672,32.00, -13.00, 36.00,0
3.998997,20.00, -15.00, 24.00,0
4.127439,14.00, -12.00, 18.00,0
4.248544,12.00, -12.00, 17.00,0
4.348555,11.00, -12.00, 18.00,0
4.459299,13.00, -12.00, 19.00,0
4.570854,14.00, -11.00, 19.00,0
4.67759,13.00, -11.00, 20.00,0
4.806199,14.00, -11.00, 20.00,0
4.899296,15.00, -11.00, 20.00,0
5.042575,14.00, -11.00, 20.00,0
5.160727,14.00, -12.00, 21.00,0
5.296505,14.00, -12.00, 20.00,0
5.384139,14.00, -13.00, 21.00,0
5.613282,15.00, -13.00, 21.00,0
5.716728,15.00, -12.00, 21.00,0
5.844254,16.00, -12.00, 21.00,0
