Time,Euler0,Euler1,Euler2,ShakeLevel
3.728587,-21.00, 75.00, -162.00,0
3.76677,-160.00, 77.00, 67.00,0
3.88756,170.00, 44.00, 45.00,0
4.018209,141.00, 13.00, 33.00,1
4.083071,141.00, 13.00, 33.00,0
4.116333,70.00, -14.00, 16.00,0
4.225061,15.00, -20.00, 1.00,0
4.343346,2.00, -17.00, -14.00,0
4.441949,0.00, -10.00, -20.00,0
4.569489,4.00, -4.00, -20.00,0
4.6807,8.00, 1.00, -18.00,0
4.80184,11.00, 1.00, -18.00,0
4.891122,14.00, 0.00, -18.00,0
5.020117,15.00, -2.00, -17.00,0
5.1544,17.00, -1.00, -17.00,0
