Time,Euler0,Euler1,Euler2,ShakeLevel
3.485682,53.00, 15.00, -8.00,0
3.582871,45.00, 13.00, 0.00,0
3.711621,44.00, 13.00, 1.00,0
3.81245,43.00, 13.00, 1.00,0
4.040107,42.00, 12.00, 1.00,0
4.156364,37.00, 12.00, 6.00,0
4.289979,34.00, 13.00, 7.00,0
4.382685,31.00, 12.00, 7.00,0
4.492027,28.00, 10.00, 8.00,0
4.607177,20.00, 8.00, 11.00,0
4.711782,12.00, 5.00, 13.00,0
4.833713,8.00, 4.00, 15.00,0
4.939116,4.00, 4.00, 15.00,0
5.062107,2.00, 6.00, 17.00,0
5.158408,1.00, 7.00, 18.00,0
5.278213,0.00, 8.00, 18.00,0
5.394703,-1.00, 10.00, 18.00,0
5.490966,-3.00, 13.00, 19.00,0
5.610858,-3.00, 14.00, 19.00,0
5.732623,-2.00, 14.00, 19.00,0
5.919826,-2.00, 14.00, 18.00,0
