Time,Euler0,Euler1,Euler2,ShakeLevel
3.4851,43.00, -8.00, 22.00,0
3.545828,34.00, 12.00, 4.00,0
3.680562,26.00, 24.00, -6.00,0
3.768442,34.00, 24.00, 14.00,0
3.892679,42.00, 2.00, 36.00,0
3.996768,46.00, -15.00, 35.00,0
4.121242,47.00, -5.00, 21.00,0
4.225456,45.00, 14.00, 1.00,0
4.341968,41.00, 19.00, 0.00,0
4.441627,45.00, 22.00, 23.00,0
4.567867,49.00, 17.00, 34.00,0
4.66956,53.00, 5.00, 32.00,0
4.786541,58.00, -4.00, 17.00,0
4.925211,61.00, -4.00, 6.00,0
5.01446,62.00, -2.00, 1.00,0
5.143828,62.00, 0.00, 1.00,0
5.245941,58.00, 7.00, -7.00,0
5.343938,56.00, 9.00, -13.00,0
5.465372,56.00, 9.00, -14.00,0
5.570382,56.00, 9.00, -15.00,0
5.694336,54.00, 8.00, -18.00,0
5.798768,52.00, 7.00, -22.00,0
5.93569,52.00, 7.00, -24.00,0
6.061486,52.00, 6.00, -24.00,0
6.139378,52.00, 6.00, -25.00,0
6.266226,52.00, 7.00, -24.00,0
