Time,Euler0,Euler1,Euler2,ShakeLevel
3.678527,47.00, -53.00, 34.00,0
3.725986,44.00, -29.00, 34.00,0
3.854428,42.00, -21.00, 34.00,0
3.959869,28.00, -21.00, 48.00,0
4.071446,13.00, -3.00, 53.00,0
4.18516,15.00, -10.00, 50.00,0
4.301717,29.00, -41.00, 17.00,0
4.411468,28.00, -37.00, 15.00,0
4.521836,15.00, -12.00, 32.00,0
4.630404,17.00, -3.00, 38.00,0
4.752157,20.00, -34.00, 38.00,0
4.858207,51.00, -64.00, 4.00,0
4.975568,55.00, -62.00, 0.00,0
5.108924,37.00, -34.00, 22.00,0
5.204294,50.00, -17.00, 34.00,0
5.309814,70.00, -11.00, 40.00,0
5.419796,70.00, -21.00, 37.00,0
5.528275,66.00, -33.00, 32.00,0
5.648972,46.00, -41.00, 49.00,0
5.750992,34.00, -48.00, 57.00,0
5.873027,44.00, -48.00, 50.00,0
5.976727,66.00, -39.00, 40.00,0
6.133578,88.00, -27.00, 35.00,0
6.21823,96.00, -18.00, 35.00,0
6.351392,98.00, -15.00, 36.00,0
6.465147,97.00, -17.00, 36.00,0
