Time,Euler0,Euler1,Euler2,ShakeLevel
3.499077,4.00, -35.00, -151.00,0
3.60708,6.00, -30.00, -149.00,0
3.707169,5.00, -11.00, -148.00,0
3.830828,1.00, 3.00, -149.00,0
3.940501,2.00, 1.00, -150.00,0
4.078597,1.00, -2.00, -150.00,0
4.176344,-3.00, -6.00, -151.00,0
4.297655,-14.00, -6.00, -153.00,0
4.38736,-20.00, -4.00, -154.00,0
4.506105,-22.00, -11.00, -154.00,0
4.617028,-24.00, -22.00, -152.00,0
4.725994,-24.00, -28.00, -151.00,0
4.831984,-23.00, -32.00, -149.00,0
4.960423,-23.00, -33.00, -148.00,0
5.06009,-23.00, -33.00, -147.00,0
5.190488,-22.00, -32.00, -147.00,0
