Time,Euler0,Euler1,Euler2,ShakeLevel
3.689126,35.00, 14.00, -13.00,0
3.78414,35.00, 12.00, -16.00,0
3.88413,37.00, 12.00, -13.00,0
4.011999,42.00, 16.00, -6.00,0
4.108088,43.00, 17.00, -3.00,0
4.23723,42.00, 15.00, -3.00,0
4.557488,41.00, 14.00, -3.00,0
5.012165,41.00, 15.00, -3.00,0
5.24471,40.00, 15.00, -4.00,0
5.451776,41.00, 15.00, -4.00,0
5.550543,40.00, 15.00, -4.00,0
5.669515,41.00, 15.00, -4.00,0
5.795623,40.00, 15.00, -4.00,0
5.937228,41.00, 15.00, -4.00,0
6.053781,40.00, 15.00, -4.00,0
6.16363,41.00, 15.00, -4.00,0
6.270661,41.00, 14.00, -4.00,0
6.39001,41.00, 15.00, -4.00,0
